NR $SA_F$ $SA_H$ $G_F$ $G_H$
1 6181 3870 2330 8120 
2 1560 900 930 1050 
3 890 810 730 830 
4 840 750 660 750 
5 770 730 690 750 
6 720 730 630 730 
7 710 710 610 690 
8 710 700 590 690 
9 700 680 620 670 
10 700 690 600 670 
11 650 680 610 680 
12 680 690 590 680 
13 680 670 600 680 
14 690 690 580 670 
15 660 690 590 660 
16 670 690 590 680 
17 680 680 590 650 
18 670 690 600 660 
19 680 680 590 660 
20 680 690 590 660 
21 680 740 590 660 
22 680 700 590 660 
23 680 690 570 650 
24 670 680 590 660 
25 670 670 580 650 
26 680 680 570 660 
27 670 680 580 640 
28 660 680 580 660 
29 680 680 570 640 
30 680 690 580 650 
31 670 690 580 640 
32 690 680 570 650 
33 690 690 580 641 
34 670 680 590 650 
35 660 680 580 630 
36 670 690 590 640 
37 670 680 590 650 
38 680 690 590 650 
39 660 670 580 630 
40 670 680 590 650 
41 690 680 600 660 
42 670 680 590 650 
43 670 680 580 650 
44 680 690 620 650 
45 680 680 580 650 
46 670 680 570 640 
47 670 680 580 630 
48 660 680 5920 650 
49 670 690 600 650 
50 660 690 590 640 
