NR $SA_F$ $SA_H$ $G_F$ $G_H$
1 8103 4192 3353 7684 
2 2864 1886 1956 1956 
3 1886 2445 1956 2305 
4 1886 2305 1886 1817 
5 2445 1886 908 2305 
6 2445 1957 978 1956 
7 1886 2375 1397 1886 
8 1886 1467 1467 1956 
9 1886 1886 978 1956 
10 1886 1956 1886 2375 
11 1956 1957 1816 1886 
12 1467 1956 1886 1886 
13 1467 1467 1467 1956 
14 1887 1887 1397 1956 
15 1397 2375 1467 1887 
16 2306 1887 1886 1886 
17 2375 2375 2375 2306 
18 1887 2375 1886 1886 
19 1467 1467 1886 1956 
20 1467 1887 1397 1886 
21 1817 2375 1397 1956 
22 1816 1886 1887 12854 
23 1886 2375 1467 1886 
24 1886 2445 1886 1956 
25 1956 1956 1398 1886 
26 1397 2375 1397 1886 
27 2375 2306 1817 1886 
28 1816 1886 1397 1886 
29 2305 1817 1956 1886 
30 2375 1956 1956 1956 
31 2375 1956 1886 1956 
32 1886 1956 2305 1886 
33 1886 2375 2375 1886 
34 1956 1397 1956 1956 
35 2305 2375 1467 2305 
36 1886 1886 1956 1886 
37 1956 1886 1886 1956 
38 1886 1956 1887 1956 
39 1956 1956 1886 1886 
40 1886 1886 1887 1886 
41 1957 1956 1956 2376 
42 1956 1886 1886 1886 
43 1956 1886 1956 1957 
44 1957 2445 1397 2445 
45 2375 1467 1956 1886 
46 2306 2375 1956 1887 
47 1886 1887 1886 1886 
48 1886 1886 2375 1886 
49 2445 1886 1397 1886 
50 1956 1886 1467 1956 
