NR $SA_F$ $SA_H$ $G_F$ $G_H$
1 8729 4399 3840 9079 
2 2375 1886 1955 1466 
3 1956 1816 1885 1955 
4 1955 1886 1886 1886 
5 1955 1885 1955 1396 
6 1396 1885 977 1885 
7 1886 1886 1886 1886 
8 1396 1955 1467 1815 
9 1885 1955 1467 1467 
10 1885 1885 1885 978 
11 1886 1397 1816 1886 
12 1955 1466 1956 1885 
13 1886 1397 1466 1467 
14 6983 1955 1467 1885 
15 1397 1467 1396 1886 
16 1466 1466 1467 1955 
17 1466 1886 1885 1955 
18 1886 1886 1885 10335 
19 1885 1955 1397 1467 
20 1396 1886 1955 1885 
21 1886 1955 1956 1467 
22 1815 1397 1955 1466 
23 1885 1886 1886 1397 
24 1955 1885 1886 1885 
25 1955 1955 1886 1885 
26 1885 1955 1816 1816 
27 1886 1886 1885 1396 
28 1886 1885 1886 1467 
29 1955 1885 1885 1885 
30 1885 1885 1955 1816 
31 1955 1886 1955 1397 
32 1956 1885 1885 1885 
33 1885 1956 1396 1886 
34 1956 1466 1885 1885 
35 1396 1816 908 1955 
36 1397 1885 1396 1885 
37 978 1396 1955 1886 
38 1955 1886 1466 1885 
39 1956 1885 1955 1885 
40 1885 1467 1885 1397 
41 1885 1955 1397 1466 
42 1816 1886 1956 1467 
43 1885 1815 1885 1466 
44 1886 1397 1397 1886 
45 1955 1886 1396 1396 
46 1885 1955 1396 1467 
47 1886 1955 1467 1466 
48 1956 1886 1885 1467 
49 1885 1955 1886 1466 
50 1956 1885 1885 1467 
