NR $SA_F$ $SA_H$ $G_F$ $G_H$
1 6510 3590 2130 7890 
2 1670 910 1110 1050 
3 960 840 780 900 
4 830 770 720 810 
5 820 760 630 770 
6 730 700 600 690 
7 700 710 600 690 
8 710 690 600 680 
9 710 690 600 670 
10 700 670 600 640 
11 700 690 600 630 
12 720 680 610 640 
13 670 720 610 640 
14 670 690 580 630 
15 670 700 590 630 
16 680 710 580 640 
17 680 700 580 630 
18 680 710 600 630 
19 680 690 600 630 
20 670 700 610 660 
21 680 760 620 630 
22 670 680 600 660 
23 680 690 600 630 
24 680 680 610 630 
25 670 670 610 660 
26 670 680 620 730 
27 680 680 600 660 
28 670 680 630 650 
29 700 670 620 630 
30 690 710 620 640 
31 670 670 630 650 
32 680 700 600 660 
33 670 680 600 640 
34 700 700 600 640 
35 690 670 620 660 
36 690 700 620 640 
37 680 680 620 640 
38 670 690 610 630 
39 690 670 590 620 
40 670 700 580 660 
41 680 670 590 620 
42 670 690 570 650 
43 700 680 580 620 
44 670 690 660 660 
45 690 670 590 620 
46 690 680 590 650 
47 700 660 590 660 
48 680 690 570 660 
49 660 670 570 620 
50 680 690 570 620 
